                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8431,                 5.5426,                 4.2337,                      0,                      0,                      0,                      0,                 5.2951,                 5.8035,                 4.1646,              6.575e-05,              6.575e-05,              6.575e-05
                      2,                 4.8715,                 5.4757,                 4.2051,                      0,                      0,                      0,                      0,                 5.2902,                 5.8209,                 4.1608,             0.00013347,             0.00013347,             0.00013347
                      3,                 4.8024,                 5.3697,                 4.1561,                      0,                      0,                      0,                      0,                 5.2851,                 5.8923,                 4.1547,             0.00020051,             0.00020051,             0.00020051
                      4,                 4.6912,                 5.2313,                 4.0744,                      0,                      0,                      0,                      0,                 5.3287,                 6.1633,                 4.2497,             0.00025909,             0.00025909,             0.00025909
                      5,                 4.5884,                 4.9862,                 3.9529,                      0,                      0,                      0,                      0,                 5.4334,                 6.3902,                  4.403,             0.00025909,             0.00025909,             0.00025909
                      6,                 4.4432,                 4.7201,                 3.8047,                0.06955,                0.00047,                0.00014,                  5e-05,                 5.0002,                 5.4277,                  3.944,             0.00025779,             0.00025779,             0.00025779
                      7,                 4.2481,                 4.5191,                 3.7167,                0.07083,                0.00181,                0.00046,                0.00014,                  4.591,                 4.6563,                 3.6419,             0.00025649,             0.00025649,             0.00025649
                      8,                 4.0936,                 4.2772,                 3.5447,                0.10834,                0.00261,                0.00098,                0.00031,                 4.3281,                 5.8152,                 3.3418,             0.00025519,             0.00025519,             0.00025519
                      9,                  3.926,                 4.1028,                 3.3524,                0.14025,                0.00332,                0.00118,                0.00039,                 4.3321,                 4.8551,                 3.2224,             0.00025389,             0.00025389,             0.00025389
                     10,                 3.7788,                 3.8919,                 3.1377,                0.35032,                0.00352,                0.00166,                0.00057,                 3.9927,                  3.994,                  2.953,             0.00025259,             0.00025259,             0.00025259
                     11,                 3.6194,                 3.7487,                 2.9268,                0.10773,                 0.0037,                0.00175,                0.00065,                 3.8714,                 3.8826,                 2.7838,             0.00025128,             0.00025128,             0.00025128
                     12,                 3.5261,                 3.5795,                 2.7981,                0.07613,                 0.0052,                0.00271,                0.00092,                 3.7214,                 3.6743,                 2.6332,             0.00024998,             0.00024998,             0.00024998
